Unnamed: 0,value_4,value_3,value_2,value_1,ID,error_5,error_6,error_7,error_1,error_2,error_3,error_4,issue_found
0,0.1969389526454994,0.3548252565091092,0.9648557692119828,5.135438642720139,1,0,0,0,0,1,0,1,MEMORY_LEAK
1,0.1659099541909202,0.8286388663506092,0.6611318425638151,4.2913023812997775,2,0,0,0,0,0,0,1,CPU_OVERHEAT
2,0.4417273049723288,0.274104882496049,0.3140444735199907,6.7351144808976215,3,0,1,1,0,0,1,1,MEMORY_LEAK
3,0.4254265789466683,0.4412514157746495,0.1890211113803938,4.839484859941339,4,0,1,0,1,1,0,1,MEMORY_LEAK
4,0.2080404440284995,0.8248625022797931,0.6525195479207506,2.474716559813353,5,1,1,0,1,0,1,0,NETWORK_DELAY
5,0.275007863634414,0.4950777714599752,0.6244452798741076,2.670530702029485,6,0,0,1,1,0,0,0,NETWORK_DELAY
6,0.9020741306612526,0.205543119171921,0.9656388250179084,3.696351789936,7,1,0,0,1,1,0,0,NETWORK_DELAY
7,0.768057034844396,0.3989379465527189,0.3799330266005963,1.2350990669808783,8,0,0,0,1,1,0,1,POWER_OFF
8,0.7702839554456629,0.7254841699169043,0.7268984200402213,4.836547816099771,9,0,1,0,0,1,0,1,CPU_OVERHEAT
9,0.0289887844826012,0.1813788649349011,0.9826334851298586,1.2745276898059197,10,0,0,0,1,1,0,1,POWER_OFF
10,0.0131896970253878,0.3574336487134086,0.8910233810625506,6.927434350319027,11,1,0,0,0,0,0,1,MEMORY_LEAK
11,0.951267067333522,0.1709475263850024,0.8911443388715298,-8.633549350595374,12,1,0,1,0,0,0,0,DATABASE_ISSUE
12,0.3891016966970312,0.570973099597195,0.641032808139337,4.722006139564559,13,0,1,0,0,0,1,1,CPU_OVERHEAT
13,0.9899143439468197,0.2655055047780413,0.183812631079409,-4.1001682019381365,14,0,1,1,0,0,1,0,DATABASE_ISSUE
14,0.9810044679387192,0.1916290126236575,0.0725173796841446,2.221555201379635,15,1,0,1,0,1,0,0,NETWORK_DELAY
15,0.2771472387042114,0.0957252412085566,0.8850274090940734,1.2808267667735822,16,1,0,0,0,1,0,1,POWER_OFF
16,0.0568485382795678,0.1787821122655836,0.5173874736583006,5.591732678737664,17,0,1,0,0,0,1,1,MEMORY_LEAK
17,0.9973995247198314,0.8271247720911564,0.1804478525670514,5.417552923020024,18,0,1,0,1,0,0,1,MEMORY_LEAK
18,0.662393933769707,0.6279838117991482,0.8727337154630722,1.4284672180874056,19,0,1,1,0,0,1,0,NETWORK_DELAY
19,0.5717863220981421,0.1593981637177032,0.8315964359402996,4.58952278961748,20,0,1,0,0,0,0,0,MEMORY_LEAK
20,0.30365041869983,0.9644697424653764,0.1654632003558663,1.801257911846007,21,0,1,1,1,1,0,0,NETWORK_DELAY
21,0.5577441743811826,0.1371077208967994,0.4400873227189386,6.154196549423075,22,1,0,0,0,0,0,0,MEMORY_LEAK
22,0.2932688699774159,0.5865148184821525,0.6803236019350571,4.759722384592618,23,1,1,0,0,1,0,1,MEMORY_LEAK
23,0.0872444632003999,0.0994653877566971,0.1902347451533583,5.467406038161897,24,0,1,1,0,0,0,1,MEMORY_LEAK
24,0.2510161009372882,0.1911373705479261,0.1725901166345035,3.2140300900219394,25,0,0,1,1,1,0,0,CPU_OVERHEAT
25,0.9586696825710462,0.6941874082861127,0.4702603358186782,6.5469757369897685,26,0,1,0,0,0,1,1,MEMORY_LEAK
26,0.2066983666264011,0.581957506942736,0.3915041495413081,6.942973182951792,27,0,1,0,0,0,0,1,MEMORY_LEAK
27,0.5344565340463294,0.7873448869619221,0.8612716273034444,1.880400022055826,28,0,0,1,0,0,1,0,NETWORK_DELAY
28,0.6343959891562115,0.4474476960232384,0.3735347202948067,1.4650848871710256,29,0,0,1,1,0,1,0,NETWORK_DELAY
29,0.5841993757456821,0.2643339554064187,0.2679769442408731,6.580322239403943,30,0,0,0,0,0,0,1,MEMORY_LEAK
30,0.7020093155376737,0.8854466541119279,0.950200868743711,-6.079720069562863,31,1,1,0,0,0,0,0,DATABASE_ISSUE
31,0.8520832737980297,0.2072457276452086,0.3980732929731575,6.282824618464715,32,1,1,1,0,0,1,1,MEMORY_LEAK
32,0.4777427402937638,0.1849626112446699,0.0981588459908892,6.161925191603237,33,1,1,0,0,0,1,1,MEMORY_LEAK
33,0.3763431702200983,0.6021869184762945,0.0911324058184241,1.8262602444853404,34,1,1,1,1,0,0,0,NETWORK_DELAY
34,0.8574374677445561,0.365322133549858,0.2947952289765208,5.532962513024138,35,0,0,0,0,0,0,1,MEMORY_LEAK
35,0.7872651657666638,0.2969893174366308,0.0427391938242905,-7.756075063702397,36,1,0,0,1,1,1,1,DATABASE_ISSUE
36,0.2205874845408316,0.3411904066463603,0.4358518591808886,4.539279899180775,37,0,1,1,0,0,0,1,CPU_OVERHEAT
37,0.820464409063807,0.5740194470834729,0.9320557221815832,-4.9974879004779975,38,1,0,1,0,0,1,0,DATABASE_ISSUE
38,0.8611506185578346,0.7635562294985164,0.255622864319734,-6.756644848010081,39,1,0,0,1,1,1,0,DATABASE_ISSUE
39,0.2492481439019479,0.4830614404407192,0.6467240204451555,2.0053140314884037,40,0,0,1,1,1,0,0,NETWORK_DELAY
40,0.0200891490090886,0.6438555267251674,0.052399880402685,3.5864200856137263,41,1,0,0,0,1,0,1,NETWORK_DELAY
41,0.5404917745781112,0.094472044794819,0.443931630462185,-4.192711412061116,42,1,0,1,0,0,1,0,DATABASE_ISSUE
42,0.3406351591424092,0.8374317615206538,0.6922240234472982,5.316666668330421,43,0,0,0,0,0,1,0,MEMORY_LEAK
43,0.00446711032626,0.8513084869494226,0.1286967987884575,-5.297126515305375,44,1,0,0,0,1,1,0,DATABASE_ISSUE
44,0.5735299446390085,0.034804874307853,0.7558141893281695,1.0299532852212785,45,0,1,1,1,1,0,0,NETWORK_DELAY
45,0.4492159753216469,0.454010896991234,0.8881650018839009,1.2788880277934846,46,0,0,1,0,0,0,0,POWER_OFF
46,0.0459713987772408,0.7899726871635261,0.7878021418286988,1.839196171314944,47,0,1,0,1,1,0,0,NETWORK_DELAY
47,0.7858915701467372,0.6811417310686054,0.469248348157179,-4.969364764422495,48,1,1,1,1,1,1,0,DATABASE_ISSUE
48,0.500612915439526,0.2806342413479763,0.1284636478066958,3.483913098323572,49,0,0,1,0,0,0,0,NETWORK_DELAY
49,0.9251343802670924,0.3723653416120137,0.8613783134428228,-5.26014839388726,50,1,0,0,0,0,1,0,DATABASE_ISSUE
50,0.2202459128671291,0.0750295363445104,0.5636107321433326,5.749515783345749,51,0,0,0,0,0,0,1,MEMORY_LEAK
51,0.1126087610259749,0.4960878188748283,0.8329759712916575,-4.599902541676553,52,1,0,0,1,1,1,1,DATABASE_ISSUE
52,0.3275041883214498,0.3467466372502293,0.0687548193001362,-4.83807203264526,53,1,0,0,0,0,1,0,DATABASE_ISSUE
53,0.8291161977217204,0.5517701133817245,0.1726165716190409,-4.031571983386873,54,1,0,0,0,1,1,1,DATABASE_ISSUE
54,0.9255555766813036,0.4853961358386782,0.1044345468506809,2.931078023024223,55,0,0,1,1,1,0,0,NETWORK_DELAY
